title,author,isbn13,publisher,description,amazon_product_url,nyt_rank,nyt_rank_last_week,weeks_on_list,price,primary_isbn10,category,extraction_date,goodreads_rating,goodreads_rating_count,goodreads_url
IMPOSSIBLE CREATURES,Katherine Rundell.,9780593809860,Knopf,A young boy is enlisted to save a place where magical creatures reside. (Ages 10 and up),https://www.amazon.com/dp/0593809866?tag=thenewyorktim-20,1,1,9,0.00,0593809866,childrens-middle-grade-hardcover,2024-11-19,4.17,8727.0,https://www.goodreads.com/book/isbn/9780593809860
THE MILLICENT QUIBB SCHOOL OF ETIQUETTE FOR YOUNG LADIES OF MAD SCIENCE,Kate McKinnon,9780316554732,"Little, Brown",Three sisters attend an unusual etiquette school. (Ages 8 to 12),https://www.amazon.com/dp/0316554731?tag=thenewyorktim-20,2,3,6,0.00,0316554731,childrens-middle-grade-hardcover,2024-11-19,4.1,632.0,https://www.goodreads.com/book/isbn/9780316554732
THE LAST DRAGON ON MARS,Scott Reintgen,9781665946513,Aladdin,Lunar must save the planet of Mars with a dragon named Dread. (Ages 10 and up),https://www.amazon.com/dp/1665946512?tag=thenewyorktim-20,3,6,6,0.00,1665946512,childrens-middle-grade-hardcover,2024-11-19,4.28,261.0,https://www.goodreads.com/book/isbn/9781665946513
THE BLETCHLEY RIDDLE,Ruta Sepetys and Steve Sheinkin,9780593527542,Viking,The siblings Jakob and Lizzie decode wartime secrets during World War II-era London. (Ages 10 and up),https://www.amazon.com/dp/0593527542?tag=thenewyorktim-20,4,4,5,0.00,0593527542,childrens-middle-grade-hardcover,2024-11-19,4.21,1868.0,https://www.goodreads.com/book/isbn/9780593527542
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492670025,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen. (Ages 8 and up),https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=thenewyorktim-20,5,5,223,0.00,1492670022,childrens-middle-grade-hardcover,2024-11-19,4.4,815.0,https://www.goodreads.com/book/isbn/9781492670025
THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492677697,Sourcebooks Explore,One hundred plus kid-tested baking recipes. (Ages 8 to 12),https://www.amazon.com/Complete-Baking-Book-Young-Chefs/dp/1492677698?tag=thenewyorktim-20,6,0,66,0.00,1492677698,childrens-middle-grade-hardcover,2024-11-19,4.47,385.0,https://www.goodreads.com/book/isbn/9781492677697
WONDER,R.J. Palacio,9780375869020,Knopf,A boy with a facial deformity starts school. (Ages 8 to 12),http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,7,7,466,0.00,0375869026,childrens-middle-grade-hardcover,2024-11-19,4.37,1124549.0,https://www.goodreads.com/book/isbn/9780375869020
HEROES,Alan Gratz,9781338736076,Scholastic,The friends Frank and Stanley give a vivid account of the Pearl Harbor attack. (Ages 8 to 12),https://www.amazon.com/dp/1338736078?tag=thenewyorktim-20,8,9,35,0.00,1338736078,childrens-middle-grade-hardcover,2024-11-19,4.24,2708.0,https://www.goodreads.com/book/isbn/9781338736076
PRICELESS FACTS ABOUT MONEY,Mellody Hobson.,9781536224719,Candlewick,Elucidating money for kids. (Ages 8 to 12),https://www.amazon.com/dp/1536224715?tag=thenewyorktim-20,9,0,5,0.00,1536224715,childrens-middle-grade-hardcover,2024-11-19,4.06,18.0,https://www.goodreads.com/book/isbn/9781536224719
MOUSE AND HIS DOG,Katherine Applegate and Gennifer Choldenko.,9781250345004,Feiwel & Friends,Mouse attempts to find homes for three of his dog friends. (Ages 8 to 12),https://www.amazon.com/dp/1250345006?tag=thenewyorktim-20,10,0,3,0.00,1250345006,childrens-middle-grade-hardcover,2024-11-19,4.29,134.0,https://www.goodreads.com/book/isbn/9781250345004
CHRISTMAS AT HOGWARTS,J.K. Rowling.,9781546129950,Scholastic,Harry Potter celebrates his first Christmas at Hogwarts. (Ages 6 and up),https://www.amazon.com/dp/1546129952?tag=thenewyorktim-20,1,1,4,0.00,1546129952,picture-books,2024-11-19,4.41,591.0,https://www.goodreads.com/book/isbn/9781546129950
HOW TO CATCH A TURKEY,Adam Wallace.,9781492664352,Sourcebooks Jabberwocky,Students try to catch a runaway turkey before their Thanksgiving play. (Ages 4 to 8),https://www.amazon.com/How-Catch-Turkey-Adam-Wallace/dp/1492664359?tag=thenewyorktim-20,2,4,20,0.00,1492664359,picture-books,2024-11-19,3.8,1127.0,https://www.goodreads.com/book/isbn/9781492664352
TAYLOR SWIFT,Wendy Loggia.,9780593566718,Golden,A biography of the pop star. (Ages 4 to 8),https://www.amazon.com/dp/0593566718?tag=thenewyorktim-20,3,2,3,0.00,0593566718,picture-books,2024-11-19,4.68,3555.0,https://www.goodreads.com/book/isbn/9780593566718
